[Link],link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id
,0,1346,11172,1,0.25177,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.943603,40.583982,0.0 -111.938817,40.584061,0.0</coordinates></LineString>","<LineString><coordinates>-111.943605,40.584092,0.0 -111.938819,40.584171,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11172,1346,1,0.25177,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938821,40.584281,0.0 -111.943607,40.584202,0.0</coordinates></LineString>","<LineString><coordinates>-111.938819,40.584171,0.0 -111.943605,40.584092,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1348,5210,1,0.25253,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.943543,40.576875,0.0 -111.938742,40.576851,0.0</coordinates></LineString>","<LineString><coordinates>-111.943542,40.576985,0.0 -111.938741,40.576961,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5210,1348,1,0.25253,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938740,40.577071,0.0 -111.943541,40.577095,0.0</coordinates></LineString>","<LineString><coordinates>-111.938741,40.576961,0.0 -111.943542,40.576985,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1349,5210,1,0.23091,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934350,40.576980,0.0 -111.938739,40.577071,0.0</coordinates></LineString>","<LineString><coordinates>-111.934352,40.576870,0.0 -111.938741,40.576961,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5210,1349,1,0.23091,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938743,40.576851,0.0 -111.934354,40.576760,0.0</coordinates></LineString>","<LineString><coordinates>-111.938741,40.576961,0.0 -111.934352,40.576870,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1349,5219,1,0.27261,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934355,40.576760,0.0 -111.929175,40.576630,0.0</coordinates></LineString>","<LineString><coordinates>-111.934352,40.576870,0.0 -111.929172,40.576740,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5219,1349,1,0.27261,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929169,40.576850,0.0 -111.934349,40.576980,0.0</coordinates></LineString>","<LineString><coordinates>-111.929172,40.576740,0.0 -111.934352,40.576870,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1349,11181,1,0.30911,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934434,40.576797,0.0 -111.931113,40.573100,0.0</coordinates></LineString>","<LineString><coordinates>-111.934352,40.576870,0.0 -111.931031,40.573173,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11181,1349,1,0.30911,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.930949,40.573246,0.0 -111.934270,40.576943,0.0</coordinates></LineString>","<LineString><coordinates>-111.931031,40.573173,0.0 -111.934352,40.576870,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
